mapName,keyword,date,weekday,hour,time,dateTime,price,tradeCount,timeUnit
미나르숲:남겨진 용의 둥지,미나르숲:남겨진 용의 둥지,2025-12-29,월,21,21:00,2025-12-29 21:00:00,5457692.0,29,HOURLY
미나르숲:남겨진 용의 둥지,미나르숲:남겨진 용의 둥지,2025-12-29,월,22,22:00,2025-12-29 22:00:00,4824242.0,38,HOURLY
미나르숲:남겨진 용의 둥지,미나르숲:남겨진 용의 둥지,2025-12-29,월,23,23:00,2025-12-29 23:00:00,4305555.0,38,HOURLY
미나르숲:남겨진 용의 둥지,미나르숲:남겨진 용의 둥지,2025-12-30,화,0,00:00,2025-12-30 00:00:00,2249999.0,31,HOURLY
미나르숲:남겨진 용의 둥지,미나르숲:남겨진 용의 둥지,2025-12-30,화,1,01:00,2025-12-30 01:00:00,1344999.0,35,HOURLY
미나르숲:남겨진 용의 둥지,미나르숲:남겨진 용의 둥지,2025-12-30,화,2,02:00,2025-12-30 02:00:00,471153.0,31,HOURLY
미나르숲:남겨진 용의 둥지,미나르숲:남겨진 용의 둥지,2025-12-30,화,3,03:00,2025-12-30 03:00:00,327777.0,12,HOURLY
미나르숲:남겨진 용의 둥지,미나르숲:남겨진 용의 둥지,2025-12-30,화,4,04:00,2025-12-30 04:00:00,150000.0,2,HOURLY
미나르숲:남겨진 용의 둥지,미나르숲:남겨진 용의 둥지,2025-12-30,화,5,05:00,2025-12-30 05:00:00,99999.0,1,HOURLY
미나르숲:남겨진 용의 둥지,미나르숲:남겨진 용의 둥지,2025-12-30,화,6,06:00,2025-12-30 06:00:00,0.0,0,HOURLY
미나르숲:남겨진 용의 둥지,미나르숲:남겨진 용의 둥지,2025-12-30,화,7,07:00,2025-12-30 07:00:00,0.0,0,HOURLY
미나르숲:남겨진 용의 둥지,미나르숲:남겨진 용의 둥지,2025-12-30,화,8,08:00,2025-12-30 08:00:00,0.0,0,HOURLY
미나르숲:남겨진 용의 둥지,미나르숲:남겨진 용의 둥지,2025-12-30,화,9,09:00,2025-12-30 09:00:00,16199999.0,11,HOURLY
미나르숲:남겨진 용의 둥지,미나르숲:남겨진 용의 둥지,2025-12-30,화,10,10:00,2025-12-30 10:00:00,17999999.0,15,HOURLY
미나르숲:남겨진 용의 둥지,미나르숲:남겨진 용의 둥지,2025-12-30,화,11,11:00,2025-12-30 11:00:00,17666666.0,3,HOURLY
미나르숲:남겨진 용의 둥지,미나르숲:남겨진 용의 둥지,2025-12-30,화,12,12:00,2025-12-30 12:00:00,14312499.0,9,HOURLY
미나르숲:남겨진 용의 둥지,미나르숲:남겨진 용의 둥지,2025-12-30,화,13,13:00,2025-12-30 13:00:00,12374999.0,11,HOURLY
미나르숲:남겨진 용의 둥지,미나르숲:남겨진 용의 둥지,2025-12-30,화,14,14:00,2025-12-30 14:00:00,10808632.0,13,HOURLY
미나르숲:남겨진 용의 둥지,미나르숲:남겨진 용의 둥지,2025-12-30,화,15,15:00,2025-12-30 15:00:00,14676767.0,13,HOURLY
미나르숲:남겨진 용의 둥지,미나르숲:남겨진 용의 둥지,2025-12-30,화,16,16:00,2025-12-30 16:00:00,15056250.0,18,HOURLY
미나르숲:남겨진 용의 둥지,미나르숲:남겨진 용의 둥지,2025-12-30,화,17,17:00,2025-12-30 17:00:00,14512345.0,18,HOURLY
미나르숲:남겨진 용의 둥지,미나르숲:남겨진 용의 둥지,2025-12-30,화,18,18:00,2025-12-30 18:00:00,12617647.0,18,HOURLY
미나르숲:남겨진 용의 둥지,미나르숲:남겨진 용의 둥지,2025-12-30,화,19,19:00,2025-12-30 19:00:00,12052631.0,23,HOURLY
미나르숲:남겨진 용의 둥지,미나르숲:남겨진 용의 둥지,2025-12-30,화,20,20:00,2025-12-30 20:00:00,9660869.0,28,HOURLY
미나르숲:남겨진 용의 둥지,미나르숲:남겨진 용의 둥지,2025-12-30,화,21,21:00,2025-12-30 21:00:00,7027777.0,24,HOURLY
미나르숲:남겨진 용의 둥지,미나르숲:남겨진 용의 둥지,2025-12-30,화,22,22:00,2025-12-30 22:00:00,4956249.0,20,HOURLY
미나르숲:남겨진 용의 둥지,미나르숲:남겨진 용의 둥지,2025-12-30,화,23,23:00,2025-12-30 23:00:00,5052631.0,27,HOURLY
